id,properties/icon,properties/name,properties/language/longitude,properties/language/pk,properties/language/name,properties/language/id,properties/language/latitude,type,geometry/coordinates/0,geometry/coordinates/1,geometry/type
TIKUU_PATE,http://asjp.clld.org/clld-static/icons/cff6600.png,Tikuu Pate,39,893,Tikuu Pate,TIKUU_PATE,-6.5,Feature,39,-6.5,Point
TIKUU,http://asjp.clld.org/clld-static/icons/cff6600.png,Tikuu,39,894,Tikuu,TIKUU,-6.5,Feature,39,-6.5,Point
TIV_1,http://asjp.clld.org/clld-static/icons/cff6600.png,Tiv 1,9,895,Tiv 1,TIV_1,7.5,Feature,9,7.5,Point
TIV_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Tiv 2,9,896,Tiv 2,TIV_2,7.5,Feature,9,7.5,Point
TONGA_AFRICA,http://asjp.clld.org/clld-static/icons/cff6600.png,Tonga Africa,35.17,897,Tonga Africa,TONGA_AFRICA,-24,Feature,35.17,-24,Point
TOUKOULAKA_BOMITABA,http://asjp.clld.org/clld-static/icons/cff6600.png,Toukoulaka Bomitaba,17.5,898,Toukoulaka Bomitaba,TOUKOULAKA_BOMITABA,1.67,Feature,17.5,1.67,Point
TSAANGI,http://asjp.clld.org/clld-static/icons/cff6600.png,Tsaangi,13,899,Tsaangi,TSAANGI,-1.7,Feature,13,-1.7,Point
TSAMBAAN_YANZ,http://asjp.clld.org/clld-static/icons/cff6600.png,Tsambaan Yanz,18,900,Tsambaan Yanz,TSAMBAAN_YANZ,-3.83,Feature,18,-3.83,Point
TSHWA,http://asjp.clld.org/clld-static/icons/cff6600.png,Tshwa,34,901,Tshwa,TSHWA,-23,Feature,34,-23,Point
TSOGO,http://asjp.clld.org/clld-static/icons/cff6600.png,Tsogo,11.33,902,Tsogo,TSOGO,-1.5,Feature,11.33,-1.5,Point
TSONGA,http://asjp.clld.org/clld-static/icons/cff6600.png,Tsonga,32,903,Tsonga,TSONGA,-24,Feature,32,-24,Point
TSWANA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Tswana 2,26,904,Tswana 2,TSWANA_2,-24,Feature,26,-24,Point
TSWANA,http://asjp.clld.org/clld-static/icons/cff6600.png,Tswana,26,905,Tswana,TSWANA,-24,Feature,26,-24,Point
TUKI,http://asjp.clld.org/clld-static/icons/cff6600.png,Tuki,11.6,906,Tuki,TUKI,4.42,Feature,11.6,4.42,Point
TUKI_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Tuki 2,11.5,907,Tuki 2,TUKI_2,4.58,Feature,11.5,4.58,Point
TUMBUKA_MALAWI,http://asjp.clld.org/clld-static/icons/cff6600.png,Tumbuka Malawi,33.67,908,Tumbuka Malawi,TUMBUKA_MALAWI,-11,Feature,33.67,-11,Point
TUMBUKA_ZAMBIE,http://asjp.clld.org/clld-static/icons/cff6600.png,Tumbuka Zambie,33.67,909,Tumbuka Zambie,TUMBUKA_ZAMBIE,-11,Feature,33.67,-11,Point
TUMBWE,http://asjp.clld.org/clld-static/icons/cff6600.png,Tumbwe,29.92,910,Tumbwe,TUMBWE,-5.17,Feature,29.92,-5.17,Point
TUNEN,http://asjp.clld.org/clld-static/icons/cff6600.png,Tunen,10.67,911,Tunen,TUNEN,4.75,Feature,10.67,4.75,Point
TWUMWU,http://asjp.clld.org/clld-static/icons/cff6600.png,Twumwu,11.67,912,Twumwu,TWUMWU,5.83,Feature,11.67,5.83,Point
UMBUNDU,http://asjp.clld.org/clld-static/icons/cff6600.png,Umbundu,15,913,Umbundu,UMBUNDU,-12.5,Feature,15,-12.5,Point
