id,properties/icon,properties/name,properties/language/longitude,properties/language/pk,properties/language/name,properties/language/id,properties/language/latitude,type,geometry/coordinates/0,geometry/coordinates/1,geometry/type
AUNI,http://asjp.clld.org/clld-static/icons/cff6600.png,Auni,21.5,1,Auni,AUNI,-24,Feature,21.5,-24,Point
BATWA,http://asjp.clld.org/clld-static/icons/cff6600.png,Batwa,26,2,Batwa,BATWA,-29,Feature,26,-29,Point
KAM_KA_KE,http://asjp.clld.org/clld-static/icons/cff6600.png,Kam Ka Ke,21,3,Kam Ka Ke,KAM_KA_KE,-31,Feature,21,-31,Point
MASARWA_KAKIA,http://asjp.clld.org/clld-static/icons/cff6600.png,Masarwa Kakia,21.5,4,Masarwa Kakia,MASARWA_KAKIA,-24,Feature,21.5,-24,Point
NG_KE,http://asjp.clld.org/clld-static/icons/cff6600.png,Ng Ke,21,5,Ng Ke,NG_KE,-26,Feature,21,-26,Point
NU,http://asjp.clld.org/clld-static/icons/cff6600.png,Nu,21,6,Nu,NU,-26,Feature,21,-26,Point
NU_EN,http://asjp.clld.org/clld-static/icons/cff6600.png,Nu En,21.5,7,Nu En,NU_EN,-24,Feature,21.5,-24,Point
XOON,http://asjp.clld.org/clld-static/icons/cff6600.png,Xoon,21.5,8,Xoon,XOON,-24,Feature,21.5,-24,Point
XOON_MASARWA,http://asjp.clld.org/clld-static/icons/cff6600.png,Xoon Masarwa,22.83,9,Xoon Masarwa,XOON_MASARWA,-19.35,Feature,22.83,-19.35,Point
XOON_NUEN,http://asjp.clld.org/clld-static/icons/cff6600.png,Xoon Nuen,22.17,10,Xoon Nuen,XOON_NUEN,-21.68,Feature,22.17,-21.68,Point
GWI,http://asjp.clld.org/clld-static/icons/cff6600.png,Gwi,21.75,11,Gwi,GWI,-22.67,Feature,21.75,-22.67,Point
GXANA,http://asjp.clld.org/clld-static/icons/cff6600.png,Gxana,23.33,12,Gxana,GXANA,-22.17,Feature,23.33,-22.17,Point
KHOEKHOEGOWAB,http://asjp.clld.org/clld-static/icons/cff6600.png,Khoekhoegowab,18,13,Khoekhoegowab,KHOEKHOEGOWAB,-25.5,Feature,18,-25.5,Point
KHWE,http://asjp.clld.org/clld-static/icons/cff6600.png,Khwe,22.5,14,Khwe,KHWE,-17.5,Feature,22.5,-17.5,Point
KORANA,http://asjp.clld.org/clld-static/icons/cff6600.png,Korana,20.5,15,Korana,KORANA,-29.5,Feature,20.5,-29.5,Point
KWADI,http://asjp.clld.org/clld-static/icons/cff6600.png,Kwadi,12.3,16,Kwadi,KWADI,-16.27,Feature,12.3,-16.27,Point
KXOE,http://asjp.clld.org/clld-static/icons/cff6600.png,Kxoe,22.5,17,Kxoe,KXOE,-17.5,Feature,22.5,-17.5,Point
MASARWA_TATI,http://asjp.clld.org/clld-static/icons/cff6600.png,Masarwa Tati,26,18,Masarwa Tati,MASARWA_TATI,-22.5,Feature,26,-22.5,Point
NAMA,http://asjp.clld.org/clld-static/icons/cff6600.png,Nama,18,19,Nama,NAMA,-25.5,Feature,18,-25.5,Point
NAMA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Nama 2,18,20,Nama 2,NAMA_2,-25.5,Feature,18,-25.5,Point
NARO,http://asjp.clld.org/clld-static/icons/cff6600.png,Naro,20.5,21,Naro,NARO,-22.5,Feature,20.5,-22.5,Point
NARON,http://asjp.clld.org/clld-static/icons/cff6600.png,Naron,20.5,22,Naron,NARON,-22.33,Feature,20.5,-22.33,Point
HOAN,http://asjp.clld.org/clld-static/icons/cff6600.png,Hoan,24.95,27,Hoan,HOAN,-23.92,Feature,24.95,-23.92,Point
JUHOAN,http://asjp.clld.org/clld-static/icons/cff6600.png,Juhoan,21,28,Juhoan,JUHOAN,-19,Feature,21,-19,Point
KAUEN,http://asjp.clld.org/clld-static/icons/cff6600.png,Kauen,21.75,29,Kauen,KAUEN,-21.33,Feature,21.75,-21.33,Point
KUNG,http://asjp.clld.org/clld-static/icons/cff6600.png,Kung,18,30,Kung,KUNG,-19.67,Feature,18,-19.67,Point
KUNG_EKOKA,http://asjp.clld.org/clld-static/icons/cff6600.png,Kung Ekoka,18,31,Kung Ekoka,KUNG_EKOKA,-19.67,Feature,18,-19.67,Point
O_KUNG,http://asjp.clld.org/clld-static/icons/cff6600.png,O Kung,18.75,32,O Kung,O_KUNG,-17,Feature,18.75,-17,Point
SANDAWE,http://asjp.clld.org/clld-static/icons/cff6600.png,Sandawe,35,34,Sandawe,SANDAWE,-5,Feature,35,-5,Point
HADZA,http://asjp.clld.org/clld-static/icons/cff6600.png,Hadza,35.17,35,Hadza,HADZA,-3.75,Feature,35.17,-3.75,Point
AWAK,http://asjp.clld.org/clld-static/icons/cff6600.png,Awak,11.33,36,Awak,AWAK,9.87,Feature,11.33,9.87,Point
BALI_NIGERIA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bali Nigeria,11.3,37,Bali Nigeria,BALI_NIGERIA,8.82,Feature,11.3,8.82,Point
BESME,http://asjp.clld.org/clld-static/icons/cff6600.png,Besme,16.08,38,Besme,BESME,9.58,Feature,16.08,9.58,Point
BON_GULA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bon Gula,19.5,39,Bon Gula,BON_GULA,10.42,Feature,19.5,10.42,Point
BUA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bua,18,40,Bua,BUA,10,Feature,18,10,Point
BURAK,http://asjp.clld.org/clld-static/icons/cff6600.png,Burak,11.08,41,Burak,BURAK,9.5,Feature,11.08,9.5,Point
DADIYA,http://asjp.clld.org/clld-static/icons/cff6600.png,Dadiya,11.33,42,Dadiya,DADIYA,9.58,Feature,11.33,9.58,Point
DAMA,http://asjp.clld.org/clld-static/icons/cff6600.png,Dama,14.33,43,Dama,DAMA,8.67,Feature,14.33,8.67,Point
DAY,http://asjp.clld.org/clld-static/icons/cff6600.png,Day,17.83,44,Day,DAY,8.75,Feature,17.83,8.75,Point
DOOHWAAYAAYO,http://asjp.clld.org/clld-static/icons/cff6600.png,Doohwaayaayo,13.08,45,Doohwaayaayo,DOOHWAAYAAYO,8.67,Feature,13.08,8.67,Point
FALI,http://asjp.clld.org/clld-static/icons/cff6600.png,Fali,13.5,46,Fali,FALI,9.33,Feature,13.5,9.33,Point
GALKE,http://asjp.clld.org/clld-static/icons/cff6600.png,Galke,14.33,47,Galke,GALKE,8.08,Feature,14.33,8.08,Point
GENGLE,http://asjp.clld.org/clld-static/icons/cff6600.png,Gengle,12.5,48,Gengle,GENGLE,9.33,Feature,12.5,9.33,Point
GOUNDO,http://asjp.clld.org/clld-static/icons/cff6600.png,Goundo,16.25,49,Goundo,GOUNDO,9.5,Feature,16.25,9.5,Point
GULA_IRO,http://asjp.clld.org/clld-static/icons/cff6600.png,Gula Iro,19.42,50,Gula Iro,GULA_IRO,10.25,Feature,19.42,10.25,Point
KALI,http://asjp.clld.org/clld-static/icons/cff6600.png,Kali,16.33,51,Kali,KALI,6.67,Feature,16.33,6.67,Point
KARANG,http://asjp.clld.org/clld-static/icons/cff6600.png,Karang,15,52,Karang,KARANG,7.67,Feature,15,7.67,Point
KIM,http://asjp.clld.org/clld-static/icons/cff6600.png,Kim,15.92,53,Kim,KIM,9.92,Feature,15.92,9.92,Point
KO,http://asjp.clld.org/clld-static/icons/cff6600.png,Ko,15.5,54,Ko,KO,8,Feature,15.5,8,Point
KOKE,http://asjp.clld.org/clld-static/icons/cff6600.png,Koke,18.33,55,Koke,KOKE,10.75,Feature,18.33,10.75,Point
KPASHAM,http://asjp.clld.org/clld-static/icons/cff6600.png,Kpasham,11.25,56,Kpasham,KPASHAM,8.75,Feature,11.25,8.75,Point
KUMBA,http://asjp.clld.org/clld-static/icons/cff6600.png,Kumba,12,57,Kumba,KUMBA,8.83,Feature,12,8.83,Point
LONGTO,http://asjp.clld.org/clld-static/icons/cff6600.png,Longto,13.08,58,Longto,LONGTO,8.33,Feature,13.08,8.33,Point
LONGUDA,http://asjp.clld.org/clld-static/icons/cff6600.png,Longuda,11.83,59,Longuda,LONGUDA,9.75,Feature,11.83,9.75,Point
LUA_NIELLIM,http://asjp.clld.org/clld-static/icons/cff6600.png,Lua Niellim,17.75,60,Lua Niellim,LUA_NIELLIM,9.75,Feature,17.75,9.75,Point
MAMBAI,http://asjp.clld.org/clld-static/icons/cff6600.png,Mambai,13.92,61,Mambai,MAMBAI,9.5,Feature,13.92,9.5,Point
MBUM,http://asjp.clld.org/clld-static/icons/cff6600.png,Mbum,13.17,62,Mbum,MBUM,7.75,Feature,13.17,7.75,Point
MOMI,http://asjp.clld.org/clld-static/icons/cff6600.png,Momi,12.75,63,Momi,MOMI,9,Feature,12.75,9,Point
MUNDANG,http://asjp.clld.org/clld-static/icons/cff6600.png,Mundang,14.5,64,Mundang,MUNDANG,9.67,Feature,14.5,9.67,Point
NDOK_MBALI,http://asjp.clld.org/clld-static/icons/cff6600.png,Ndok Mbali,15.12,65,Ndok Mbali,NDOK_MBALI,8.07,Feature,15.12,8.07,Point
NGOUMI,http://asjp.clld.org/clld-static/icons/cff6600.png,Ngoumi,15.37,66,Ngoumi,NGOUMI,7.68,Feature,15.37,7.68,Point
NJAK_MBAI,http://asjp.clld.org/clld-static/icons/cff6600.png,Njak Mbai,15.75,67,Njak Mbai,NJAK_MBAI,7.67,Feature,15.75,7.67,Point
NOY,http://asjp.clld.org/clld-static/icons/cff6600.png,Noy,17.91,68,Noy,NOY,9.42,Feature,17.91,9.42,Point
NYONG,http://asjp.clld.org/clld-static/icons/cff6600.png,Nyong,10.42,69,Nyong,NYONG,5.92,Feature,10.42,5.92,Point
PAM,http://asjp.clld.org/clld-static/icons/cff6600.png,Pam,14.33,70,Pam,PAM,8,Feature,14.33,8,Point
PANGSENG,http://asjp.clld.org/clld-static/icons/cff6600.png,Pangseng,10.5,71,Pangseng,PANGSENG,8,Feature,10.5,8,Point
PEERE,http://asjp.clld.org/clld-static/icons/cff6600.png,Peere,12.42,72,Peere,PEERE,7.75,Feature,12.42,7.75,Point
RANG,http://asjp.clld.org/clld-static/icons/cff6600.png,Rang,10.5,73,Rang,RANG,8,Feature,10.5,8,Point
SAMBA_LEKO,http://asjp.clld.org/clld-static/icons/cff6600.png,Samba Leko,12.5,74,Samba Leko,SAMBA_LEKO,8.5,Feature,12.5,8.5,Point
TEME,http://asjp.clld.org/clld-static/icons/cff6600.png,Teme,11.38,75,Teme,TEME,8.75,Feature,11.38,8.75,Point
TUNIA,http://asjp.clld.org/clld-static/icons/cff6600.png,Tunia,18.17,76,Tunia,TUNIA,9.42,Feature,18.17,9.42,Point
TO,http://asjp.clld.org/clld-static/icons/cff6600.png,To,15.27,77,To,TO,7.58,Feature,15.27,7.58,Point
TUPURI,http://asjp.clld.org/clld-static/icons/cff6600.png,Tupuri,14.75,78,Tupuri,TUPURI,10.17,Feature,14.75,10.17,Point
WAJA,http://asjp.clld.org/clld-static/icons/cff6600.png,Waja,11.67,79,Waja,WAJA,10,Feature,11.67,10,Point
WAKA,http://asjp.clld.org/clld-static/icons/cff6600.png,Waka,11.5,80,Waka,WAKA,8.78,Feature,11.5,8.78,Point
WOM_AFRICA,http://asjp.clld.org/clld-static/icons/cff6600.png,Wom Africa,12.45,81,Wom Africa,WOM_AFRICA,8.93,Feature,12.45,8.93,Point
YANDANG,http://asjp.clld.org/clld-static/icons/cff6600.png,Yandang,12.07,82,Yandang,YANDANG,9,Feature,12.07,9,Point
YOTI,http://asjp.clld.org/clld-static/icons/cff6600.png,Yoti,12.97,83,Yoti,YOTI,9,Feature,12.97,9,Point
AKUNNU,http://asjp.clld.org/clld-static/icons/cff6600.png,Akunnu,5.92,84,Akunnu,AKUNNU,7.58,Feature,5.92,7.58,Point
A51_BAFIA_MAJA,http://asjp.clld.org/clld-static/icons/cff6600.png,A51 Bafia Maja,11.2,85,A51 Bafia Maja,A51_BAFIA_MAJA,5.1,Feature,11.2,5.1,Point
A51_BAFIA_TUMI_TINGON,http://asjp.clld.org/clld-static/icons/cff6600.png,A51 Bafia Tumi Tingon,11.2,86,A51 Bafia Tumi Tingon,A51_BAFIA_TUMI_TINGON,5.1,Feature,11.2,5.1,Point
A51_BAFIA_ZAKAAN,http://asjp.clld.org/clld-static/icons/cff6600.png,A51 Bafia Zakaan,11.2,87,A51 Bafia Zakaan,A51_BAFIA_ZAKAAN,5.1,Feature,11.2,5.1,Point
A53_BAFIA_RIKPA,http://asjp.clld.org/clld-static/icons/cff6600.png,A53 Bafia Rikpa,11.17,88,A53 Bafia Rikpa,A53_BAFIA_RIKPA,5,Feature,11.17,5,Point
A54_BAFIA_NJANTI,http://asjp.clld.org/clld-static/icons/cff6600.png,A54 Bafia Njanti,11.3,89,A54 Bafia Njanti,A54_BAFIA_NJANTI,5.3,Feature,11.3,5.3,Point
A60_GUNU,http://asjp.clld.org/clld-static/icons/cff6600.png,A60 Gunu,11.25,90,A60 Gunu,A60_GUNU,4.58,Feature,11.25,4.58,Point
A60_MMAALA,http://asjp.clld.org/clld-static/icons/cff6600.png,A60 Mmaala,11.08,91,A60 Mmaala,A60_MMAALA,4.5,Feature,11.08,4.5,Point
A61_NGORO_ASOM,http://asjp.clld.org/clld-static/icons/cff6600.png,A61 Ngoro Asom,11.5,92,A61 Ngoro Asom,A61_NGORO_ASOM,4.58,Feature,11.5,4.58,Point
A62_KALONGE,http://asjp.clld.org/clld-static/icons/cff6600.png,A62 Kalonge,11.08,93,A62 Kalonge,A62_KALONGE,4.43,Feature,11.08,4.43,Point
A72a_EWONDO,http://asjp.clld.org/clld-static/icons/cff6600.png,A72a Ewondo,12,94,A72a Ewondo,A72a_EWONDO,4,Feature,12,4,Point
ABAR,http://asjp.clld.org/clld-static/icons/cff6600.png,Abar,10.25,95,Abar,ABAR,6.58,Feature,10.25,6.58,Point
AFI_AMANDA,http://asjp.clld.org/clld-static/icons/cff6600.png,Afi Amanda,10.95,96,Afi Amanda,AFI_AMANDA,6.8,Feature,10.95,6.8,Point
AGHEM_ISU,http://asjp.clld.org/clld-static/icons/cff6600.png,Aghem Isu,10,97,Aghem Isu,AGHEM_ISU,6.67,Feature,10,6.67,Point
AGHEM_WEH,http://asjp.clld.org/clld-static/icons/cff6600.png,Aghem Weh,10,98,Aghem Weh,AGHEM_WEH,6.67,Feature,10,6.67,Point
AGHEM_WUM,http://asjp.clld.org/clld-static/icons/cff6600.png,Aghem Wum,10,99,Aghem Wum,AGHEM_WUM,6.67,Feature,10,6.67,Point
AKWA,http://asjp.clld.org/clld-static/icons/cff6600.png,Akwa,15.85,100,Akwa,AKWA,-0.25,Feature,15.85,-0.25,Point
ALINGA,http://asjp.clld.org/clld-static/icons/cff6600.png,Alinga,10.67,101,Alinga,ALINGA,4.75,Feature,10.67,4.75,Point
AMASI,http://asjp.clld.org/clld-static/icons/cff6600.png,Amasi,9.58,102,Amasi,AMASI,6,Feature,9.58,6,Point
AMBELE_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Ambele 2,9.67,103,Ambele 2,AMBELE_2,5.92,Feature,9.67,5.92,Point
AMBELE,http://asjp.clld.org/clld-static/icons/cff6600.png,Ambele,9.67,104,Ambele,AMBELE,5.92,Feature,9.67,5.92,Point
AUSHI,http://asjp.clld.org/clld-static/icons/cff6600.png,Aushi,29,105,Aushi,AUSHI,-11,Feature,29,-11,Point
AWING,http://asjp.clld.org/clld-static/icons/cff6600.png,Awing,10.28,106,Awing,AWING,5.87,Feature,10.28,5.87,Point
B11c_GALWA_1,http://asjp.clld.org/clld-static/icons/cff6600.png,B11c Galwa 1,9.5,107,B11c Galwa 1,B11c_GALWA_1,-1.25,Feature,9.5,-1.25,Point
B11c_GALWA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,B11c Galwa 2,9.5,108,B11c Galwa 2,B11c_GALWA_2,-1.25,Feature,9.5,-1.25,Point
B25_KOTA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,B25 Kota 2,12.5,109,B25 Kota 2,B25_KOTA_2,0,Feature,12.5,0,Point
B312_HIMBA,http://asjp.clld.org/clld-static/icons/cff6600.png,B312 Himba,13.75,110,B312 Himba,B312_HIMBA,-16.5,Feature,13.75,-16.5,Point
B414_VARAMA,http://asjp.clld.org/clld-static/icons/cff6600.png,B414 Varama,10.75,111,B414 Varama,B414_VARAMA,-2.5,Feature,10.75,-2.5,Point
B41_SHIRA,http://asjp.clld.org/clld-static/icons/cff6600.png,B41 Shira,10.5,112,B41 Shira,B41_SHIRA,-1.75,Feature,10.5,-1.75,Point
B42_SANGU_2,http://asjp.clld.org/clld-static/icons/cff6600.png,B42 Sangu 2,11.83,113,B42 Sangu 2,B42_SANGU_2,-1.5,Feature,11.83,-1.5,Point
B431_VUNGU,http://asjp.clld.org/clld-static/icons/cff6600.png,B431 Vungu,11.33,114,B431 Vungu,B431_VUNGU,-2.5,Feature,11.33,-2.5,Point
B44_LUMBU_YI_BANDA,http://asjp.clld.org/clld-static/icons/cff6600.png,B44 Lumbu Yi Banda,10.58,115,B44 Lumbu Yi Banda,B44_LUMBU_YI_BANDA,-3,Feature,10.58,-3,Point
B63_NDUUMO_KUYA,http://asjp.clld.org/clld-static/icons/cff6600.png,B63 Nduumo Kuya,13.58,116,B63 Nduumo Kuya,B63_NDUUMO_KUYA,-1.67,Feature,13.58,-1.67,Point
B70_TEKE_OMVULA,http://asjp.clld.org/clld-static/icons/cff6600.png,B70 Teke Omvula,15.33,117,B70 Teke Omvula,B70_TEKE_OMVULA,-3.67,Feature,15.33,-3.67,Point
B77a_KUKUYA_1,http://asjp.clld.org/clld-static/icons/cff6600.png,B77a Kukuya 1,14.5,118,B77a Kukuya 1,B77a_KUKUYA_1,-2.33,Feature,14.5,-2.33,Point
B77a_KUKUYA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,B77a Kukuya 2,14.5,119,B77a Kukuya 2,B77a_KUKUYA_2,-2.33,Feature,14.5,-2.33,Point
B78_IWUM_WUUMBU_SUD_TEKE,http://asjp.clld.org/clld-static/icons/cff6600.png,B78 Iwum Wuumbu Sud Teke,15.33,120,B78 Iwum Wuumbu Sud Teke,B78_IWUM_WUUMBU_SUD_TEKE,-3.67,Feature,15.33,-3.67,Point
B85d_TSONG,http://asjp.clld.org/clld-static/icons/cff6600.png,B85d Tsong,18.08,121,B85d Tsong,B85d_TSONG,-4.67,Feature,18.08,-4.67,Point
B86_DZING_BISEY,http://asjp.clld.org/clld-static/icons/cff6600.png,B86 Dzing Bisey,19.5,122,B86 Dzing Bisey,B86_DZING_BISEY,-4.33,Feature,19.5,-4.33,Point
B871_MPIIN_2,http://asjp.clld.org/clld-static/icons/cff6600.png,B871 Mpiin 2,19.33,123,B871 Mpiin 2,B871_MPIIN_2,-5.17,Feature,19.33,-5.17,Point
B87_MBUUN_LABAEMPI,http://asjp.clld.org/clld-static/icons/cff6600.png,B87 Mbuun Labaempi,19.33,124,B87 Mbuun Labaempi,B87_MBUUN_LABAEMPI,-5.17,Feature,19.33,-5.17,Point
B87_MBUUN_MWILANBONG,http://asjp.clld.org/clld-static/icons/cff6600.png,B87 Mbuun Mwilanbong,19.33,125,B87 Mbuun Mwilanbong,B87_MBUUN_MWILANBONG,-5.17,Feature,19.33,-5.17,Point
BABANKI,http://asjp.clld.org/clld-static/icons/cff6600.png,Babanki,10.32,126,Babanki,BABANKI,6.08,Feature,10.32,6.08,Point
BABA,http://asjp.clld.org/clld-static/icons/cff6600.png,Baba,10.52,127,Baba,BABA,6.12,Feature,10.52,6.12,Point
BABOLE_DZEKE,http://asjp.clld.org/clld-static/icons/cff6600.png,Babole Dzeke,17.25,128,Babole Dzeke,BABOLE_DZEKE,1.08,Feature,17.25,1.08,Point
BABOLE_IMPFONDO,http://asjp.clld.org/clld-static/icons/cff6600.png,Babole Impfondo,17.25,129,Babole Impfondo,BABOLE_IMPFONDO,1.08,Feature,17.25,1.08,Point
BABONG,http://asjp.clld.org/clld-static/icons/cff6600.png,Babong,9.5,130,Babong,BABONG,5.3,Feature,9.5,5.3,Point
BABUNGO,http://asjp.clld.org/clld-static/icons/cff6600.png,Babungo,10.42,131,Babungo,BABUNGO,6.12,Feature,10.42,6.12,Point
BADA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bada,9.94,132,Bada,BADA,9.6,Feature,9.94,9.6,Point
BAFAW,http://asjp.clld.org/clld-static/icons/cff6600.png,Bafaw,9.47,133,Bafaw,BAFAW,4.7,Feature,9.47,4.7,Point
BAFIA_ROPE,http://asjp.clld.org/clld-static/icons/cff6600.png,Bafia Rope,11.17,134,Bafia Rope,BAFIA_ROPE,5,Feature,11.17,5,Point
BAFIA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bafia,11.13,135,Bafia,BAFIA,4.73,Feature,11.13,4.73,Point
BAFUT,http://asjp.clld.org/clld-static/icons/cff6600.png,Bafut,9.92,136,Bafut,BAFUT,6.25,Feature,9.92,6.25,Point
BAKAKA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bakaka,9.88,137,Bakaka,BAKAKA,4.8,Feature,9.88,4.8,Point
BAKOKO,http://asjp.clld.org/clld-static/icons/cff6600.png,Bakoko,10,138,Bakoko,BAKOKO,3.5,Feature,10,3.5,Point
BAKOSSI,http://asjp.clld.org/clld-static/icons/cff6600.png,Bakossi,9.62,139,Bakossi,BAKOSSI,4.8,Feature,9.62,4.8,Point
BAKUERI,http://asjp.clld.org/clld-static/icons/cff6600.png,Bakueri,9.25,140,Bakueri,BAKUERI,4.25,Feature,9.25,4.25,Point
BALEP,http://asjp.clld.org/clld-static/icons/cff6600.png,Balep,8.67,141,Balep,BALEP,6.08,Feature,8.67,6.08,Point
BALONDO,http://asjp.clld.org/clld-static/icons/cff6600.png,Balondo,9.98,142,Balondo,BALONDO,4.83,Feature,9.98,4.83,Point
BAMBILI,http://asjp.clld.org/clld-static/icons/cff6600.png,Bambili,10.2,143,Bambili,BAMBILI,6.12,Feature,10.2,6.12,Point
BAMBOMBA_EPENA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bambomba Epena,17.5,144,Bambomba Epena,BAMBOMBA_EPENA,1.67,Feature,17.5,1.67,Point
BAMENYAM,http://asjp.clld.org/clld-static/icons/cff6600.png,Bamenyam,10.33,145,Bamenyam,BAMENYAM,5.75,Feature,10.33,5.75,Point
BAMILEKE,http://asjp.clld.org/clld-static/icons/cff6600.png,Bamileke,10.08,146,Bamileke,BAMILEKE,5.42,Feature,10.08,5.42,Point
BANEKA,http://asjp.clld.org/clld-static/icons/cff6600.png,Baneka,9.93,147,Baneka,BANEKA,4.9,Feature,9.93,4.9,Point
BANGALA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bangala,27.67,148,Bangala,BANGALA,2.87,Feature,27.67,2.87,Point
BANGUBANGU_KABAMBARE,http://asjp.clld.org/clld-static/icons/cff6600.png,Bangubangu Kabambare,28,149,Bangubangu Kabambare,BANGUBANGU_KABAMBARE,-6,Feature,28,-6,Point
BANGUBANGU,http://asjp.clld.org/clld-static/icons/cff6600.png,Bangubangu,28,150,Bangubangu,BANGUBANGU,-6,Feature,28,-6,Point
BANKALA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bankala,10.5,151,Bankala,BANKALA,9.5,Feature,10.5,9.5,Point
BANKON,http://asjp.clld.org/clld-static/icons/cff6600.png,Bankon,9.58,152,Bankon,BANKON,4.42,Feature,9.58,4.42,Point
BASAA,http://asjp.clld.org/clld-static/icons/cff6600.png,Basaa,10.5,153,Basaa,BASAA,3.92,Feature,10.5,3.92,Point
BAS_KENYANG,http://asjp.clld.org/clld-static/icons/cff6600.png,Bas Kenyang,9.5,154,Bas Kenyang,BAS_KENYANG,5.67,Feature,9.5,5.67,Point
BATANGA,http://asjp.clld.org/clld-static/icons/cff6600.png,Batanga,10,155,Batanga,BATANGA,3,Feature,10,3,Point
BATANGA_BALUNDU,http://asjp.clld.org/clld-static/icons/cff6600.png,Batanga Balundu,9.17,156,Batanga Balundu,BATANGA_BALUNDU,5,Feature,9.17,5,Point
BATU_ANWE,http://asjp.clld.org/clld-static/icons/cff6600.png,Batu Anwe,11,157,Batu Anwe,BATU_ANWE,6.83,Feature,11,6.83,Point
BEEMBE,http://asjp.clld.org/clld-static/icons/cff6600.png,Beembe,14.08,158,Beembe,BEEMBE,-3.92,Feature,14.08,-3.92,Point
BEKWIL,http://asjp.clld.org/clld-static/icons/cff6600.png,Bekwil,14.33,159,Bekwil,BEKWIL,1.67,Feature,14.33,1.67,Point
BEMBA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bemba,30,160,Bemba,BEMBA,-10,Feature,30,-10,Point
BEMBA_1,http://asjp.clld.org/clld-static/icons/cff6600.png,Bemba 1,30,161,Bemba 1,BEMBA_1,-10,Feature,30,-10,Point
BEMBA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Bemba 2,30,162,Bemba 2,BEMBA_2,-10,Feature,30,-10,Point
BEMBE,http://asjp.clld.org/clld-static/icons/cff6600.png,Bembe,14.08,163,Bembe,BEMBE,-3.92,Feature,14.08,-3.92,Point
BEMBE_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Bembe 2,14.08,164,Bembe 2,BEMBE_2,-3.92,Feature,14.08,-3.92,Point
BEMBE_3,http://asjp.clld.org/clld-static/icons/cff6600.png,Bembe 3,14.08,165,Bembe 3,BEMBE_3,-3.92,Feature,14.08,-3.92,Point
BENDEGHE,http://asjp.clld.org/clld-static/icons/cff6600.png,Bendeghe,8.67,166,Bendeghe,BENDEGHE,5.42,Feature,8.67,5.42,Point
BENDE,http://asjp.clld.org/clld-static/icons/cff6600.png,Bende,30.58,167,Bende,BENDE,-6,Feature,30.58,-6,Point
BENE_BOMITABA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bene Bomitaba,17.5,168,Bene Bomitaba,BENE_BOMITABA,1.67,Feature,17.5,1.67,Point
BENGE_BATI,http://asjp.clld.org/clld-static/icons/cff6600.png,Benge Bati,25.33,169,Benge Bati,BENGE_BATI,3,Feature,25.33,3,Point
BILE,http://asjp.clld.org/clld-static/icons/cff6600.png,Bile,11.17,170,Bile,BILE,8.92,Feature,11.17,8.92,Point
BIRA_MIALA_BUNIA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bira Miala Bunia,30,171,Bira Miala Bunia,BIRA_MIALA_BUNIA,1.25,Feature,30,1.25,Point
BIRA_SEDZABO,http://asjp.clld.org/clld-static/icons/cff6600.png,Bira Sedzabo,30,172,Bira Sedzabo,BIRA_SEDZABO,1.25,Feature,30,1.25,Point
BIRA,http://asjp.clld.org/clld-static/icons/cff6600.png,Bira,30,173,Bira,BIRA,1.25,Feature,30,1.25,Point
BOA_ABAMAKE,http://asjp.clld.org/clld-static/icons/cff6600.png,Boa Abamake,25.33,174,Boa Abamake,BOA_ABAMAKE,3,Feature,25.33,3,Point
BOA_BABANDA,http://asjp.clld.org/clld-static/icons/cff6600.png,Boa Babanda,25.33,175,Boa Babanda,BOA_BABANDA,3,Feature,25.33,3,Point
BOA_BUTA,http://asjp.clld.org/clld-static/icons/cff6600.png,Boa Buta,25.33,176,Boa Buta,BOA_BUTA,3,Feature,25.33,3,Point
BOBANGI,http://asjp.clld.org/clld-static/icons/cff6600.png,Bobangi,17.33,177,Bobangi,BOBANGI,-1.33,Feature,17.33,-1.33,Point
BODO,http://asjp.clld.org/clld-static/icons/cff6600.png,Bodo,26,178,Bodo,BODO,6,Feature,26,6,Point
BOGONGO,http://asjp.clld.org/clld-static/icons/cff6600.png,Bogongo,16.25,179,Bogongo,BOGONGO,3.58,Feature,16.25,3.58,Point
BOLEKE_BOMITABA,http://asjp.clld.org/clld-static/icons/cff6600.png,Boleke Bomitaba,17.5,180,Boleke Bomitaba,BOLEKE_BOMITABA,1.67,Feature,17.5,1.67,Point
